AREA,BLOCK
Aali,732
Aali,734
Aali,736
Aali,738
Aali,740
Aali,742
Aali,744
Aali,746
Aali,748
Abu Al Aish,607
Abu Buham,367
Abu Saiba'a,469
Abu Saiba'a,471
Abu Saiba'a,473
Abu Saiba'a,475
Adhari,366
Adhari,369
Adiliya,327
Adiliya,336
Al Akr Al Sharqi,623
Al Belad Al Qadeem,361
Al Belad Al Qadeem,362
Al Belad Al Qadeem,363
Al Belad Al Qadeem,364
Al Door,965
Al Fatih,324
Al Guraifa,642
Al Hajar,463
Al Hajar,465
Al Hajyat,929
Al Hajyat,931
Al Hajyat,935
Al Hajyat,939
Al Hamriya,611
Al Hunaniya,901
Al Hunaniya,903
Al Jaseera,971
Al Jasra,1001
Al Jasra,1002
Al Jasra,1003
Al Jasra,1004
Al Jasra,1006
Al Khamiss,365
Al Kharjiya,606
Al Lawzi,1016
Al Lawzi,1018
Al Lawzi,1020
Al Mamtala,1099
Al Mazrooeeah,
Al Moaaskar,949
Al Muhammadyia,
Al Nasfa,733
Al Omar,988
Al Qarah,983
Al Qarah,987
Al Qareen,967
Al Rawda,906
Al Rawda,930
Al Riffa,947
Al Romaitha,995
Al Rumamin,981
Al Rumamin,982
Al Sayh,228
Al Sayh,229
Al Shabak,989
Al Shakhura,477
Al Shakhura,479
Al Shakhura,481
Al Suqayyah,328
Alcornish,322
Algainah,961
Alnaim,303
Alnaim,314
Alqalla,438
Alsalmaniya,309
Alsalmaniya,310
Alsalmaniya,311
Alsalmaniya,329
Alseef District,428
Alseef District,436
Alsuwayfia,313
Alsuwayfia,351
Alsuwayfia,353
Alwajeha Albhariya,344
Alwajeha Albhariya,346
Amwaj,257
Amwaj,258
Amwaj,263
Amwaj,264
Amwaj,265
Amwaj,266
Amwaj,269
Arad,240
Arad,241
Arad,242
Arad,243
Arad,244
Arad,245
Arad,246
Askar,951
Awali,945
Awali,946
Bani Jamra,537
Bani Jamra,539
Bani Jamra,541
Bani Jamra,543
Barbar,518
Barbar,520
Barbar,522
Barbar,524
Barbar,526
Barbar,528
Barbar,530
Belaj Al Jazair,1063
Belaj Al Jazair,1064
Bu Asheera,332
Bu Ghazal,330
Bu Ghazal,331
Bu Ghazal,373
Bu Kuwarah,913
Bu Kuwarah,917
Bu Kuwarah,919
Bu Kuwarah,921
Bu Kuwarah,923
Bu Kuwarah,925
Bu Kuwarah,927
Budaiya,550
Budaiya,552
Budaiya,553
Budaiya,555
Budaiya,557
Budaiya,559
Buqwa,455
Buqwa,457
Burhama,354
Burhama,357
Buri,752
Buri,754
Buri,756
Buri,758
Buri,760
Buri,762
Busaiteen,221
Busaiteen,222
Busaiteen,223
Busaiteen,225
Busaiteen,226
Busaiteen,227
Commercial Area,315
Commercial Area,316
DIYAR AL MUHARRAQ,250
Daih,412
Daih,414
Dair,231
Dair,232
Dair,233
Damistan,1017
Damistan,1019
Damistan,1022
Dar Kulaib,1046
Dar Kulaib,1048
Diplomatic Area,317
Diraz,536
Diraz,538
Diraz,540
Diraz,542
Diraz,544
Dragon city,263
Durrat Al Bahrain,999
East Riffa,905
East Riffa,907
East Riffa,909
East Riffa,911
Galali,251
Galali,252
Galali,253
Galali,254
Galali,255
Galali,256
Gudaibiya,307
Gudaibiya,308
Gudaibiya,321
Gudaibiya,325
Gudaibiya,326
Gudaibiya,338
Hafeera,959
Halat Alnaim,248
Halat Alsulta,247
Hamad Town,1038
Hamad Town,1203
Hamad Town,1204
Hamad Town,1205
Hamad Town,1206
Hamad Town,1207
Hamad Town,1208
Hamad Town,1209
Hamad Town,1210
Hamad Town,1211
Hamad Town,1212
Hamad Town,1213
Hamad Town,1214
Hamad Town,1215
Hamad Town,1216
Hamala,1009
Hamala,1010
Hamala,1012
Hamala,1014
Hawrat Sanad,645
Hidd,101
Hidd,102
Hidd,103
Hidd,104
Hidd,105
Hidd,106
Hidd,107
Hidd,108
Hidd,109
Hidd,110
Hidd,111
Hidd,112
Hidd,113
Hidd,115
Hidd,116
Hidd,117
Hidd,118
Hidd,119
Hidd,121
Hidd,128
Hidd Al Jamal,973
Hillat AbdulSaleh,444
Hlaitan,1067
Hoarat Aáli,714
Hoarat Aáli,730
Hoora,318
Hoora,320
Horat Anaqa,1062
Isa Town,801
Isa Town,802
Isa Town,803
Isa Town,804
Isa Town,805
Isa Town,806
Isa Town,807
Isa Town,808
Isa Town,809
Isa Town,810
Isa Town,812
Isa Town,813
Isa Town,814
Isa Town,815
Isa Town,816
Isa Town,840
Isa Town,841
Jabalt Hibshi,431
Jabalt Hibshi,433
Jabalt Hibshi,435
Janabiya,561
Janabiya,565
Janabiya,569
Janabiya,571
Janabiya,575
Janabiya,577
Janabiya,579
Jannusan,502
Jannusan,504
Jannusan,506
Jannusan,508
Jari Al Shaikh,920
Jari Al Shaikh,924
Jari Al Shaikh,926
Jaw,957
Jaw,960
Jazaer Beach,1061
Jid Ali,721
Jidhafs,419
Jidhafs,421
Jidhafs,422
Jidhafs,423
Jidhafs,424
Jidhafs,425
Jidhafs,426
Jind Al Haj,514
Juffair,340
Juffair,341
Jurdab,729
Juzur Al Dar,613
Karana,454
Karana,456
Karana,458
Karana,460
Karbabad,430
Karbabad,432
Karbabad,434
Karzakan,1025
Karzakan,1026
Karzakan,1027
Karzakan,1028
Lhassay,948
Maameer,633
Maameer,634
Maameer,635
Maameer,636
Magaba,505
Magaba,507
Magaba,509
Magaba,513
Mahaza,602
Mahaza,603
Mahooz,334
Malkiya,1032
Malkiya,1033
Malkiya,1034
Manama Center,323
Maqsha,450
Markh,529
Markh,531
Markh,533
Mazra,
Minaa Salman Industrial Area,343
Minaa Salman naval base,
Muharraq,202
Muharraq,203
Muharraq,204
Muharraq,205
Muharraq,206
Muharraq,207
Muharraq,208
Muharraq,209
Muharraq,210
Muharraq,211
Muharraq,212
Muharraq,213
Muharraq,214
Muharraq,215
Muharraq,216
Muharraq,217
Muharraq,224
Murgoban,605
Musala,411
Musala,413
Nahib Saleh,380
Nahib Saleh,381
Nahib Saleh,382
New Districts,1101
New Districts,1102
New Districts,1103
New Districts,1104
New Districts,1106
New Districts,1107
New Districts,1108
New Districts,1110
New Districts,1111
New Districts,1112
New Districts,1113
New Districts,918
New Districts,932
New Districts,944
New Districts,950
New Districts,955
New Districts,515
Northern City,532
Northern City,534
Northern City,535
Northern City,580
Northern City,581
Northern City,582
Northern City,583
Northern City,584
Northern City,585
Northern City,586
Northern City,588
Northern City,589
Northern City,590
Northern Sehla,439
Northern Sehla,441
Nurana,592
Nuwaydirat,643
Nuwaydirat,644
Nuwaydirat,646
Qadam,447
Qadam,449
Qadam,453
Qarya,604
Qufool,312
Quraya,545
Quraya,547
Quraya,549
Quraya,551
Ras Abu Jarjor,954
Ras Hayan,958
Ras Ruman,306
Ras Zuwaid,952
