AREA,ZONE
Doha - Al Jasra,1
Doha - Al Bidda,2
Doha - Mushaireb,3
Doha - Mushaireb,4
Doha -Fereej Al Asmakh,5
Doha - Old Al Ghanim,6
Doha - Al Souq (Souq Waqif),7
Bidda,12
Rumaila,12
Wadi al sail,12
Doha - Mushaireb,13
Doha - Fereej Abdel Aziz,14
Doha - Doha Al Jadeeda,15
Doha - Old Al Ghanim,16
Al Hitmi,17
Doha - Al Ruffaa,17
Doha - Al Mirqab,18
Doha - Doha Port,19
Doha - Wadi al sail,20
Doha - Al Rumaila,21
Bin Mahmoud,22
Bin Mahmoud,23
Fereej bin mahmoud,23
Doha Rawdat Al Khaii,24
Munthaza,24
Doha Mansoura,25
Fereej bin dirhem/ Bin dirhem,25
Doha - Najma,26
Doha - Umm Ghuwailina,27
Al Khulaifat,28
Doha,28
Doha - Ras Bu Abboud,28
Doha - Ras Bu Abboud,29
Bin Omran,30
DUHAIL,30
Umm Lekhba,31
Dahl AI Hamam,32
Madinat Khalifa North,32
Markhiya,33
Madinat Khalifa South,34
Fereej Kulaib,35
Al Messila,36
Bin Omran,37
Hamad Medical City,37
New AI Hitmi,37
AI Sadd,38
AI Nasr,39
Al Mirqab Al Jadeed,39
Fereej Al Nasr,39
New Slata,40
Nuaija,41
Hilal,42
Fereej AI Ali,43
Fereej AI Asiri,43
Mamoura,43
New Fereej AI Khulaifat,43
Nuaija,43
Nuaija,44
Old Airport,45
Thumama,46
Thumama,47
Doha International Airport,48
Umm Besher,48
"Hamad International Airport Banana Island",49
Ras Bu Fontas,49
Thumama,50
AI Ihemaid,51
Bani Hajer AI Seej,51
Gharaffat AI Rayan,51
Izghawa,51
Rawdat AI Jahhaniya,51
Rawdat Egdaim,51
Shariya,51
Themaid,51
AI Shaqab,52
Education City,52
Lebday,52
Luqta,52
Old AI Rayyan,52
Muaither,53
New AI Rayyan,53
Rawdat Abal Heeran,53
Umm AI Juwashen,53
Wajba,53
Aspire Zone,54
Baaya,54
Fereej AI Amir,54
Fereej AI Soudan,54
Luaib,54
Mehairja,54
Muraikh,54
AI Aziziya,55
AI Ghanim AI Jadeed,55
AI Mearad,55
AI Sailiya,55
AI Waab,55
Bu Sidra,55
Fereej AI Manaseer,55
Fereej AI Soudan,55
Muaither,55
Murra,55
Ain Khaled,56
Barwa City,56
Bu Hamour,56
Maamoura,56
Mesaimeer,56
UMM AL SENEEM,56
Industrial Area,57
Wholesale Market,58
Dafna,60
Dafna,61
Dafna AI Gassar,61
Lekhwair,62
Onaiza,63
Lejbailat,64
Onaiza,65
AI Gassar,66
Katara,66
Legtaifiya,66
Onaiza,66
West Bay,66
The Pearl,66
Hazm AI Markhiya,67
Jelaiah AI Tarfa,68
Jeryan Nejaima,68
AI Daayen,69
AI Egla,69
Lusail,69
Wadi Al Banat,69
AI Ebb,70
AI Jeryan,70
AI Kharaitiyat,70
AI Kheesa,70
Al Sakhama,70
Bu Garn,70
Bu Glaila,70
Jery AI Matrooshi,70
Jeryan Jenaihat,70
Leabaib,70
Rawdat AI Hamama,70
Semaisma,70
TENBEK,70
Umm Garn,70
Umm Slal AI Froosh,70
Umm Slal Mohammed,70
Wadi AI Banat,70
AI Kharaitiyat,71
Bu Fessela,71
Bu Garn,71
Izghawa,71
Snay Lehmaidi,71
Umm AI Amad,71
Umm Ebairiya,71
Umm Slal Ali,71
Umm Slal Mohammed,71
AI Thakira,74
AL KHOR,74
AI Khor AI Thakira Ras Laffan,75
Thakhira,75
AL KHOR,76
Sheehaniya,80
Mebaireek,81
"Mekaines, Abu Nakhla",81
New Industrial Area,81
Sheehaniya AI Daayen,82
Barwa Village,90
Meshaf,90
Wakra,90
AL Wukair,91
Barwa Al Baraha,91
Birkat al awamer,91
Ezdan,91
Meshaf,91
Muaither AI Wukair,91
Umm Besher,91
Wadi Aba Seleel,91
new salata,40
Mesaieed,92
Mesaieed Free Zone,92
Mesaieed Industrial Area Sealine,93
COUNTER SALE,95
Al kheesa,70
Ar Ruwaydah,
Halaba,
